reading_id,device_id,site,recorded_at,temperature_c,humidity_pct,pressure_hpa,battery_pct,status
1,SNS-01,Cold Store A,2025-11-03T00:00:00Z,-18.1,62.5,1028.9,95,ok
2,SNS-02,Cold Store B,2025-11-03T00:00:00Z,-17.1,61.1,1029.6,11,low-battery
3,SNS-03,Loading Bay,2025-11-03T00:00:00Z,7.8,63.1,998.1,92,ok
4,SNS-04,Server Room,2025-11-03T00:00:00Z,22.0,35.9,1026.0,96,ok
5,SNS-05,Greenhouse 1,2025-11-03T00:00:00Z,23.4,75.2,997.3,72,ok
6,SNS-06,Greenhouse 2,2025-11-03T00:00:00Z,26.9,80.5,1019.8,60,ok
7,SNS-07,Roof Deck,2025-11-03T00:00:00Z,4.9,70.4,999.4,97,ok
8,SNS-08,Basement Corridor,2025-11-03T00:00:00Z,14.0,64.8,992.3,72,ok
9,SNS-09,Packing Hall,2025-11-03T00:00:00Z,18.4,50.7,1010.2,64,ok
10,SNS-10,Water Plant,2025-11-03T00:00:00Z,11.4,85.5,1009.4,74,ok
11,SNS-01,Cold Store A,2025-11-03T01:00:00Z,-18.6,62.1,1029.2,95,ok
12,SNS-02,Cold Store B,2025-11-03T01:00:00Z,-17.3,62.2,1029.0,11,low-battery
13,SNS-03,Loading Bay,2025-11-03T01:00:00Z,7.9,62.0,998.2,92,ok
14,SNS-04,Server Room,2025-11-03T01:00:00Z,21.9,35.5,1026.1,96,ok
15,SNS-05,Greenhouse 1,2025-11-03T01:00:00Z,23.6,75.7,996.8,72,ok
16,SNS-06,Greenhouse 2,2025-11-03T01:00:00Z,27.2,80.9,1019.5,60,ok
17,SNS-07,Roof Deck,2025-11-03T01:00:00Z,4.2,71.7,999.6,97,ok
18,SNS-08,Basement Corridor,2025-11-03T01:00:00Z,14.0,66.1,992.1,72,ok
19,SNS-09,Packing Hall,2025-11-03T01:00:00Z,18.8,50.9,1010.3,64,ok
20,SNS-10,Water Plant,2025-11-03T01:00:00Z,10.9,85.0,1008.8,74,ok
21,SNS-01,Cold Store A,2025-11-03T02:00:00Z,-19.0,63.1,1029.0,95,ok
22,SNS-02,Cold Store B,2025-11-03T02:00:00Z,-16.7,63.1,1029.1,11,low-battery
23,SNS-03,Loading Bay,2025-11-03T02:00:00Z,7.9,62.1,998.0,92,ok
24,SNS-04,Server Room,2025-11-03T02:00:00Z,21.8,35.0,1026.5,96,ok
