ip,ident,auth_user,timestamp,method,path,protocol,status,bytes,referer,user_agent
192.0.2.224,-,-,2025-11-10T00:02:25Z,POST,/checkout,HTTP/2.0,200,1858,https://www.example.com/cart,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
198.51.100.38,-,-,2025-11-10T00:04:57Z,GET,/,HTTP/1.1,301,312,https://www.example.com/,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
192.0.2.238,-,soren.zabala,2025-11-10T00:05:34Z,GET,/api/v1/products,HTTP/2.0,200,1751,https://www.example.com/cart,sample-http-client/1.14.2
203.0.113.83,-,-,2025-11-10T00:08:39Z,GET,/cart,HTTP/2.0,200,26045,https://www.example.com/docs/api,SampleBot/2.0 (+https://www.example.com/bot)
198.51.100.16,-,-,2025-11-10T00:11:07Z,GET,/cart,HTTP/1.1,200,35125,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
203.0.113.187,-,-,2025-11-10T00:12:29Z,GET,/robots.txt,HTTP/1.1,200,37634,-,uptime-probe/3.0
198.51.100.242,-,-,2025-11-10T00:15:48Z,GET,/,HTTP/2.0,200,12714,https://www.example.com/docs/api,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
192.0.2.6,-,hesper.larkspur,2025-11-10T00:18:55Z,GET,/api/v1/orders/4821,HTTP/1.1,200,2924,-,uptime-probe/3.0
203.0.113.138,-,-,2025-11-10T00:19:32Z,GET,/assets/fonts/inter.woff2,HTTP/2.0,304,0,https://www.example.com/docs/getting-started,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
203.0.113.183,-,-,2025-11-10T00:19:45Z,GET,/api/v1/products/search,HTTP/1.1,201,4141,-,FixtureCrawler/0.8
203.0.113.178,-,-,2025-11-10T00:21:26Z,GET,/assets/hero.webp,HTTP/1.1,200,13628,https://www.example.com/pricing,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
192.0.2.186,-,-,2025-11-10T00:22:21Z,GET,/assets/app.css,HTTP/1.1,200,67625,-,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
198.51.100.114,-,-,2025-11-10T00:22:48Z,POST,/api/v1/health,HTTP/1.1,201,1051,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
192.0.2.83,-,-,2025-11-10T00:23:35Z,HEAD,/assets/logo.svg,HTTP/2.0,200,0,https://www.example.com/docs/api,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
203.0.113.27,-,-,2025-11-10T00:23:47Z,HEAD,/blog/release-notes,HTTP/1.1,200,0,https://blog.example.net/tools,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
192.0.2.183,-,-,2025-11-10T00:26:11Z,GET,/assets/app.css,HTTP/1.1,200,6853,https://www.example.com/sitemap.xml,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
203.0.113.17,-,-,2025-11-10T00:27:17Z,GET,/assets/vendor.js,HTTP/2.0,200,24991,https://www.example.com/docs/api,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
192.0.2.5,-,galen.ingersleben,2025-11-10T00:29:24Z,GET,/api/v1/products/search,HTTP/1.1,200,5072,-,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
203.0.113.14,-,-,2025-11-10T00:30:33Z,GET,/favicon.ico,HTTP/1.1,200,57212,https://www.example.com/pricing,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
192.0.2.51,-,talia.prendergast,2025-11-10T00:32:30Z,GET,/api/v1/health,HTTP/1.1,200,2535,-,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
198.51.100.11,-,-,2025-11-10T00:33:25Z,POST,/api/v1/orders/4821,HTTP/2.0,200,2932,https://www.example.com/cart,uptime-probe/3.0
203.0.113.116,-,-,2025-11-10T00:33:54Z,GET,/blog/release-notes,HTTP/2.0,200,10194,https://www.example.com/pricing,uptime-probe/3.0
192.0.2.53,-,-,2025-11-10T00:36:17Z,POST,/api/v1/users,HTTP/2.0,429,453,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.44,-,-,2025-11-10T00:36:31Z,GET,/,HTTP/2.0,200,16951,https://www.example.com/,sample-http-client/1.14.2
203.0.113.128,-,-,2025-11-10T00:39:09Z,HEAD,/robots.txt,HTTP/1.1,200,0,https://www.example.org/links,sample-http-client/1.14.2
203.0.113.88,-,-,2025-11-10T00:40:14Z,GET,/assets/app.js,HTTP/1.1,200,48087,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.231,-,-,2025-11-10T00:42:39Z,GET,/robots.txt,HTTP/1.1,200,11964,https://blog.example.net/tools,sample-http-client/1.14.2
192.0.2.86,-,soren.jandreau,2025-11-10T00:43:55Z,GET,/api/v1/products,HTTP/2.0,200,13045,-,FixtureCrawler/0.8
198.51.100.149,-,everard.prendergast,2025-11-10T00:46:22Z,GET,/api/v1/orders/4821,HTTP/2.0,200,7820,-,FixtureCrawler/0.8
198.51.100.176,-,-,2025-11-10T00:49:23Z,GET,/cart,HTTP/2.0,302,392,https://www.example.com/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
192.0.2.219,-,-,2025-11-10T00:51:40Z,GET,/api/v1/sessions,HTTP/2.0,201,5723,-,uptime-probe/3.0
198.51.100.58,-,-,2025-11-10T00:54:55Z,POST,/api/v1/health,HTTP/2.0,200,12238,-,FixtureCrawler/0.8
203.0.113.10,-,-,2025-11-10T00:58:32Z,GET,/,HTTP/1.1,200,43619,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
198.51.100.251,-,-,2025-11-10T00:59:14Z,GET,/favicon.ico,HTTP/1.1,200,20168,https://www.example.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
192.0.2.73,-,-,2025-11-10T01:00:25Z,GET,/api/v1/health,HTTP/1.1,204,0,-,uptime-probe/3.0
198.51.100.248,-,-,2025-11-10T01:03:10Z,GET,/search,HTTP/2.0,200,38794,https://www.example.com/,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
192.0.2.27,-,-,2025-11-10T01:04:35Z,GET,/blog/release-notes,HTTP/2.0,200,21445,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
203.0.113.67,-,-,2025-11-10T01:07:27Z,GET,/sitemap.xml,HTTP/1.1,301,248,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
198.51.100.118,-,-,2025-11-10T01:10:08Z,GET,/docs/getting-started,HTTP/1.1,200,13248,https://blog.example.net/tools,SampleBot/2.0 (+https://www.example.com/bot)
198.51.100.194,-,-,2025-11-10T01:11:09Z,GET,/search,HTTP/2.0,301,545,https://blog.example.net/tools,sample-http-client/1.14.2
