station_id,name,line,zone,opened_year,platforms,grid_x,grid_y,step_free,interchange,daily_boardings
ST-001,Vellin Halt,Crimson,2,1978,2,45,-10,true,false,24137
ST-002,Quill Wharf,Cobalt,3,1993,2,45,11,true,false,447
ST-003,Quill Green,Cobalt,5,2000,6,-26,-33,true,false,5759
ST-004,Dunmar Cross,Violet,3,1969,1,-42,36,true,false,6288
ST-005,Eastmoor Fields,Violet,1,1986,2,-18,31,false,false,22686
ST-006,Elmgate Hill,Crimson,1,1998,6,-43,11,true,false,41339
ST-007,Harrow Row,Amber,1,1992,2,-34,6,false,false,54867
ST-008,Glass Halt,Crimson,5,2023,4,-3,-32,true,true,1484
ST-009,Quill Cross,Slate,4,2001,4,33,-34,false,true,3980
ST-010,Alder Quay,Violet,2,1993,3,-8,33,true,false,8887
ST-011,Pinfold Fields,Violet,3,1999,4,7,-15,true,true,13962
ST-012,Pinfold Park,Slate,1,2020,2,-37,-6,false,false,45969
ST-013,Quill End,Emerald,5,2003,3,8,12,false,false,7225
ST-014,Foxhollow Vale,Amber,3,1989,4,1,25,true,false,12051
ST-015,Eastmoor Central,Emerald,1,2018,5,-38,-26,false,true,48982
ST-016,Nether Wharf,Slate,2,2009,4,13,15,true,true,24417
ST-017,Fernway Central,Violet,3,1976,2,23,-25,false,false,15774
ST-018,Saltwick Locks,Slate,2,1974,2,-39,6,false,false,17643
ST-019,Vellin Gate,Cobalt,2,2021,3,21,-5,false,false,21019
ST-020,Juniper Row,Crimson,3,1976,1,-20,30,false,false,9196
ST-021,Nether Hill,Violet,2,1973,4,16,-9,true,false,22342
ST-022,Ivory Park,Slate,5,1993,3,-31,34,false,true,10455
ST-023,Pinfold Halt,Cobalt,3,1986,4,23,-4,true,false,10282
ST-024,Vellin Junction,Emerald,4,1976,2,-42,-6,false,false,10261
ST-025,Foxhollow Bridge,Crimson,4,2006,2,-22,1,false,false,14252
ST-026,Ivory Central,Emerald,3,2018,3,-2,-7,false,false,1279
ST-027,Candle Hill,Slate,5,2008,2,22,-35,true,false,10069
ST-028,Pinfold Green,Amber,2,2018,1,9,7,true,false,9791
ST-029,Oakem Central,Slate,3,2005,3,-24,28,true,false,1352
ST-030,Westing Hill,Amber,1,1996,4,47,14,true,false,4874
ST-031,Foxhollow Junction,Amber,2,1972,4,-9,-29,true,true,8612
ST-032,Bramble Wharf,Crimson,4,1972,4,-48,30,false,false,4155
ST-033,Ravens End,Slate,3,1999,4,-28,10,true,false,7889
ST-034,Glass Quay,Crimson,1,1974,2,-18,-9,false,false,16912
ST-035,Quill Bridge,Slate,4,1969,5,31,30,false,true,5836
ST-036,Bellrow Halt,Cobalt,3,1991,4,-18,-22,true,true,3015
ST-037,Candle Fields,Emerald,4,1974,3,34,18,true,false,14519
ST-038,Nether End,Slate,4,1987,2,20,-26,true,false,709
ST-039,Grangeley Fields,Cobalt,4,1984,2,29,-10,true,false,203
ST-040,Glass Wharf,Crimson,4,1975,2,-14,-12,true,false,11699
ST-041,Umber Wharf,Emerald,2,1999,5,30,19,false,true,6528
ST-042,Ivory Quay,Emerald,4,2021,2,-45,4,true,false,15303
ST-043,Kestrel Junction,Crimson,3,2000,3,-26,20,false,false,11630
ST-044,Alder Bridge,Cobalt,2,2017,2,-6,17,true,false,18377
ST-045,Larch Central,Amber,4,1994,4,46,-32,true,true,14199
ST-046,Foxhollow Quay,Cobalt,5,1988,3,-10,-18,true,false,7130
ST-047,Fernway Locks,Violet,2,2023,1,38,-16,true,false,8424
ST-048,Marrow Junction,Emerald,2,1999,2,-12,-31,false,false,13078
ST-049,Nether Fields,Amber,4,1991,6,8,18,true,false,2034
ST-050,Larch Park,Amber,2,2009,2,-34,14,false,false,14096
ST-051,Thistle Green,Crimson,1,1999,8,17,-14,true,true,12912
ST-052,Bellrow Bridge,Violet,1,1982,3,25,-31,true,false,32392
ST-053,Yarrow Wharf,Emerald,1,2009,4,-15,-21,true,true,35083
ST-054,Bellrow Vale,Emerald,4,1990,4,-32,28,false,true,12178
ST-055,Westing Row,Slate,2,2009,2,-24,-19,true,false,7264
ST-056,Larch Quay,Amber,1,2007,2,4,-3,true,false,57354
ST-057,Larch Wharf,Amber,2,2008,4,22,-5,true,true,18871
ST-058,Thistle End,Cobalt,3,1981,2,-12,7,true,false,12502
ST-059,Westing Wharf,Crimson,3,1981,4,41,18,false,false,12183
ST-060,Candle Park,Violet,3,1987,2,1,20,true,false,20372
ST-061,Bramble End,Cobalt,1,2016,3,28,9,true,false,48241
ST-062,Oakem Halt,Violet,4,2002,4,39,20,false,true,11691
ST-063,Nether Quay,Crimson,3,1977,4,-39,4,true,true,2428
ST-064,Larch Halt,Cobalt,1,2007,2,22,-21,false,false,9675
ST-065,Kestrel Park,Emerald,4,2013,2,-24,10,true,false,6876
ST-066,Candle End,Amber,2,2012,2,-30,-3,false,false,6323
ST-067,Marrow Bridge,Amber,2,2008,2,-15,16,true,false,2045
ST-068,Fernway Quay,Cobalt,4,2007,3,-38,-10,true,false,9864
ST-069,Oakem Hill,Cobalt,1,1974,2,37,-30,true,false,42366
ST-070,Quill Hill,Crimson,2,1989,2,47,-13,true,false,27299
ST-071,Eastmoor Gate,Amber,3,1995,2,-29,11,true,false,1563
ST-072,Candle Gate,Emerald,3,2015,4,-34,-12,false,false,6021
ST-073,Westing Central,Emerald,5,1989,2,2,-1,true,false,6337
ST-074,Elmgate Row,Slate,3,1973,5,12,26,true,true,15854
ST-075,Umber Locks,Amber,3,1999,3,-46,29,true,false,11953
ST-076,Glass Gate,Emerald,3,1974,3,-23,-31,true,false,6991
ST-077,Ivory Cross,Amber,3,2009,4,36,-10,true,true,16140
ST-078,Saltwick Central,Amber,5,1996,2,38,19,false,false,5567
ST-079,Bramble Vale,Violet,2,2021,2,48,5,true,false,23015
ST-080,Yarrow Halt,Amber,4,1973,4,9,-26,false,true,12007
ST-081,Quill Park,Amber,1,1986,4,4,-35,true,true,10391
ST-082,Alder Halt,Violet,2,1998,2,-1,-33,true,false,3250
ST-083,Pinfold Cross,Slate,2,2005,3,27,14,false,false,5613
ST-084,Oakem Fields,Slate,5,1977,2,43,-9,true,false,10984
ST-085,Dunmar Quay,Amber,3,1989,4,-36,-5,true,true,4442
ST-086,Marrow Vale,Amber,2,1999,2,-17,-1,true,false,16374
ST-087,Nether Halt,Crimson,2,2024,1,-19,9,true,false,2358
ST-088,Ravens Bridge,Cobalt,3,1977,4,-44,5,true,false,7471
ST-089,Bramble Quay,Amber,3,2013,2,9,12,false,false,12055
ST-090,Grangeley Wharf,Cobalt,1,1987,3,-13,12,true,false,4627
