order_id	user_id	ordered_at	status	items	subtotal	shipping	tax	total	currency	payment_method	shipping_city
ORD-10001	11	2025-01-02T08:40:00Z	delivered	1	32.31	9.99	2.67	44.97	USD	card	Alderport
ORD-10002	45	2025-01-03T11:55:00Z	refunded	2	228.8	0.0	18.88	247.68	USD	bank-transfer	Cinderhollow
ORD-10003	37	2025-01-04T03:45:00Z	pending	2	379.57	0.0	31.31	410.88	USD	wallet	Dunmarrow
ORD-10004	56	2025-01-04T15:42:00Z	shipped	5	92.81	0.0	7.66	100.47	USD	card	Dunmarrow
ORD-10005	99	2025-01-04T18:02:00Z	paid	1	129.65	0.0	10.7	140.35	USD	wallet	Ironvale
ORD-10006	8	2025-01-05T00:18:00Z	delivered	3	430.42	0.0	35.51	465.93	USD	card	Juniper Rest
ORD-10007	61	2025-01-05T17:39:00Z	shipped	2	142.69	0.0	11.77	154.46	USD	bank-transfer	Oakenshade
ORD-10008	13	2025-01-05T23:21:00Z	pending	1	9.6	9.99	0.79	20.38	USD	card	Stonebay
ORD-10009	94	2025-01-06T07:34:00Z	shipped	2	37.36	4.99	3.08	45.43	USD	card	Vellmont
ORD-10010	92	2025-01-06T18:43:00Z	shipped	1	13.03	6.99	1.07	21.09	USD	wallet	Yarrowend
ORD-10011	63	2025-01-07T13:16:00Z	paid	1	9.96	9.99	0.82	20.77	USD	bank-transfer	Kelbridge
ORD-10012	92	2025-01-08T12:09:00Z	delivered	2	155.38	0.0	12.82	168.2	USD	card	Yarrowend
ORD-10013	89	2025-01-10T22:57:00Z	delivered	1	185.36	0.0	15.29	200.65	USD	gift-card	Marrowfen
ORD-10014	113	2025-01-11T06:53:00Z	refunded	1	25.78	9.99	2.13	37.9	USD	card	Alderport
ORD-10015	71	2025-01-13T07:45:00Z	refunded	3	293.8	0.0	24.24	318.04	USD	card	Quillmoor
ORD-10016	38	2025-01-13T20:48:00Z	paid	1	59.65	4.99	4.92	69.56	USD	card	Westhollow
ORD-10017	32	2025-01-15T05:36:00Z	shipped	6	206.19	0.0	17.01	223.2	USD	card	Dunmarrow
ORD-10018	16	2025-01-15T08:51:00Z	cancelled	3	183.27	0.0	15.12	198.39	USD	card	Yarrowend
ORD-10019	18	2025-01-16T07:10:00Z	paid	2	148.53	0.0	12.25	160.78	USD	card	Glenhaven
ORD-10020	106	2025-01-16T21:20:00Z	delivered	3	134.86	0.0	11.13	145.99	USD	card	Vellmont
ORD-10021	106	2025-01-17T18:01:00Z	delivered	3	214.19	0.0	17.67	231.86	USD	card	Vellmont
ORD-10022	87	2025-01-20T15:17:00Z	delivered	6	216.28	0.0	17.84	234.12	USD	card	Brightwater
ORD-10023	2	2025-01-21T12:42:00Z	refunded	2	176.03	0.0	14.52	190.55	USD	card	Oakenshade
ORD-10024	12	2025-01-22T21:42:00Z	delivered	8	470.14	0.0	38.79	508.93	USD	card	Brightwater
ORD-10025	92	2025-01-22T22:32:00Z	paid	2	188.62	0.0	15.56	204.18	USD	wallet	Yarrowend
ORD-10026	82	2025-01-24T07:46:00Z	refunded	7	223.4	0.0	18.43	241.83	USD	card	Brightwater
ORD-10027	79	2025-01-24T23:02:00Z	shipped	3	20.63	6.99	1.7	29.32	USD	card	Yarrowend
ORD-10028	28	2025-01-24T23:59:00Z	refunded	4	297.33	0.0	24.53	321.86	USD	card	Dunmarrow
ORD-10029	10	2025-01-27T00:40:00Z	delivered	1	25.19	6.99	2.08	34.26	USD	card	Yarrowend
ORD-10030	37	2025-01-29T04:16:00Z	shipped	1	99.67	0.0	8.22	107.89	USD	card	Dunmarrow
ORD-10031	5	2025-01-29T07:46:00Z	pending	1	25.25	4.99	2.08	32.32	USD	card	Ravensford
ORD-10032	46	2025-02-01T23:15:00Z	cancelled	4	309.6	0.0	25.54	335.14	USD	card	Glenhaven
ORD-10033	81	2025-02-03T10:32:00Z	delivered	7	664.69	0.0	54.84	719.53	USD	card	Marrowfen
ORD-10034	75	2025-02-06T14:25:00Z	paid	1	25.81	4.99	2.13	32.93	USD	card	Fernbrook
ORD-10035	58	2025-02-06T18:49:00Z	paid	1	75.28	0.0	6.21	81.49	USD	card	Dunmarrow
ORD-10036	76	2025-02-07T01:41:00Z	cancelled	7	737.33	0.0	60.83	798.16	USD	card	Dunmarrow
ORD-10037	117	2025-02-07T13:40:00Z	shipped	5	636.56	0.0	52.52	689.08	USD	card	Eastvale
ORD-10038	64	2025-02-07T14:41:00Z	delivered	3	158.7	0.0	13.09	171.79	USD	wallet	Dunmarrow
ORD-10039	53	2025-02-11T06:17:00Z	delivered	1	9.12	4.99	0.75	14.86	USD	bank-transfer	Brightwater
ORD-10040	41	2025-02-12T11:46:00Z	cancelled	7	600.95	0.0	49.58	650.53	USD	card	Larkfield
ORD-10041	10	2025-02-14T12:59:00Z	paid	1	185.04	0.0	15.27	200.31	USD	bank-transfer	Yarrowend
ORD-10042	10	2025-02-17T17:12:00Z	shipped	3	181.22	0.0	14.95	196.17	USD	card	Yarrowend
ORD-10043	33	2025-02-19T15:37:00Z	pending	2	499.11	0.0	41.18	540.29	USD	wallet	Westhollow
ORD-10044	119	2025-02-21T19:30:00Z	paid	2	309.37	0.0	25.52	334.89	USD	card	Alderport
ORD-10045	101	2025-02-22T11:42:00Z	delivered	5	323.78	0.0	26.71	350.49	USD	wallet	Ironvale
ORD-10046	111	2025-02-24T11:21:00Z	shipped	5	656.34	0.0	54.15	710.49	USD	card	Cinderhollow
ORD-10047	106	2025-02-26T03:28:00Z	paid	5	689.69	0.0	56.9	746.59	USD	bank-transfer	Vellmont
ORD-10048	18	2025-02-26T06:46:00Z	cancelled	1	25.79	4.99	2.13	32.91	USD	card	Glenhaven
ORD-10049	93	2025-02-26T19:41:00Z	shipped	1	185.73	0.0	15.32	201.05	USD	card	Stonebay
ORD-10050	18	2025-03-02T07:04:00Z	delivered	1	13.24	9.99	1.09	24.32	USD	card	Glenhaven
ORD-10051	47	2025-03-03T22:33:00Z	delivered	1	19.16	4.99	1.58	25.73	USD	bank-transfer	Yarrowend
ORD-10052	110	2025-03-04T21:57:00Z	paid	2	18.39	6.99	1.52	26.9	USD	bank-transfer	Northmere
ORD-10053	116	2025-03-07T15:33:00Z	delivered	2	158.75	0.0	13.1	171.85	USD	card	Marrowfen
ORD-10054	13	2025-03-08T18:44:00Z	shipped	1	185.55	0.0	15.31	200.86	USD	card	Stonebay
ORD-10055	12	2025-03-08T23:42:00Z	paid	2	91.98	0.0	7.59	99.57	USD	card	Brightwater
ORD-10056	48	2025-03-10T14:26:00Z	paid	1	5.24	4.99	0.43	10.66	USD	gift-card	Ravensford
ORD-10057	86	2025-03-11T07:46:00Z	delivered	5	385.72	0.0	31.82	417.54	USD	card	Kelbridge
ORD-10058	61	2025-03-12T13:24:00Z	delivered	5	419.91	0.0	34.64	454.55	USD	card	Oakenshade
ORD-10059	10	2025-03-13T03:29:00Z	paid	1	12.79	9.99	1.06	23.84	USD	card	Yarrowend
ORD-10060	37	2025-03-14T11:07:00Z	refunded	3	319.76	0.0	26.38	346.14	USD	wallet	Dunmarrow
ORD-10061	8	2025-03-14T14:19:00Z	delivered	1	99.17	0.0	8.18	107.35	USD	card	Juniper Rest
ORD-10062	116	2025-03-14T20:23:00Z	pending	2	124.86	0.0	10.3	135.16	USD	card	Marrowfen
ORD-10063	59	2025-03-15T11:27:00Z	delivered	6	346.85	0.0	28.62	375.47	USD	wallet	Juniper Rest
ORD-10064	35	2025-03-17T19:15:00Z	paid	3	360.1	0.0	29.71	389.81	USD	card	Quillmoor
ORD-10065	117	2025-03-18T21:38:00Z	pending	1	9.29	4.99	0.77	15.05	USD	card	Eastvale
ORD-10066	107	2025-03-19T15:43:00Z	refunded	2	198.22	0.0	16.35	214.57	USD	card	Northmere
ORD-10067	1	2025-03-19T22:46:00Z	delivered	6	268.47	0.0	22.15	290.62	USD	gift-card	Harrowgate
ORD-10068	7	2025-03-20T18:25:00Z	paid	3	84.96	0.0	7.01	91.97	USD	card	Ravensford
ORD-10069	99	2025-03-21T17:48:00Z	paid	1	249.85	0.0	20.61	270.46	USD	card	Ironvale
ORD-10070	95	2025-03-22T05:34:00Z	refunded	3	558.54	0.0	46.08	604.62	USD	bank-transfer	Kelbridge
ORD-10071	1	2025-03-23T02:58:00Z	delivered	1	9.52	6.99	0.79	17.3	USD	card	Harrowgate
ORD-10072	30	2025-03-23T05:43:00Z	shipped	4	228.61	0.0	18.86	247.47	USD	invoice	Eastvale
ORD-10073	117	2025-03-24T09:13:00Z	delivered	3	144.81	0.0	11.95	156.76	USD	card	Eastvale
ORD-10074	30	2025-03-24T21:03:00Z	paid	2	65.16	6.99	5.38	77.53	USD	bank-transfer	Eastvale
ORD-10075	37	2025-03-25T05:55:00Z	delivered	2	42.41	4.99	3.5	50.9	USD	wallet	Dunmarrow
ORD-10076	52	2025-03-25T12:21:00Z	shipped	3	328.33	0.0	27.09	355.42	USD	card	Eastvale
ORD-10077	21	2025-03-30T00:01:00Z	delivered	3	271.48	0.0	22.4	293.88	USD	bank-transfer	Ironvale
ORD-10078	1	2025-03-30T20:07:00Z	paid	1	32.04	9.99	2.64	44.67	USD	bank-transfer	Harrowgate
ORD-10079	73	2025-04-03T19:32:00Z	paid	7	718.72	0.0	59.29	778.01	USD	card	Quillmoor
ORD-10080	28	2025-04-05T01:53:00Z	delivered	1	129.85	0.0	10.71	140.56	USD	card	Dunmarrow
ORD-10081	79	2025-04-05T12:02:00Z	paid	1	74.99	4.99	6.19	86.17	USD	card	Yarrowend
ORD-10082	102	2025-04-05T13:59:00Z	delivered	1	13.46	9.99	1.11	24.56	USD	card	Westhollow
ORD-10083	97	2025-04-05T21:48:00Z	shipped	3	302.0	0.0	24.92	326.92	USD	bank-transfer	Alderport
ORD-10084	63	2025-04-08T13:22:00Z	pending	1	46.4	6.99	3.83	57.22	USD	wallet	Kelbridge
ORD-10085	63	2025-04-08T14:55:00Z	pending	3	67.89	9.99	5.6	83.48	USD	bank-transfer	Kelbridge
ORD-10086	53	2025-04-12T01:20:00Z	paid	7	757.41	0.0	62.49	819.9	USD	card	Brightwater
ORD-10087	39	2025-04-13T10:28:00Z	paid	2	37.95	9.99	3.13	51.07	USD	card	Larkfield
ORD-10088	73	2025-04-13T11:53:00Z	pending	5	97.04	0.0	8.01	105.05	USD	card	Quillmoor
ORD-10089	30	2025-04-14T09:38:00Z	delivered	5	242.37	0.0	20.0	262.37	USD	card	Eastvale
ORD-10090	113	2025-04-14T21:20:00Z	shipped	2	55.72	6.99	4.6	67.31	USD	card	Alderport
ORD-10091	14	2025-04-15T15:56:00Z	shipped	1	75.34	0.0	6.22	81.56	USD	card	Fernbrook
ORD-10092	116	2025-04-17T06:35:00Z	shipped	5	280.17	0.0	23.11	303.28	USD	card	Marrowfen
ORD-10093	30	2025-04-22T00:02:00Z	shipped	4	188.04	0.0	15.51	203.55	USD	bank-transfer	Eastvale
ORD-10094	116	2025-04-22T03:26:00Z	delivered	6	211.98	0.0	17.49	229.47	USD	invoice	Marrowfen
ORD-10095	64	2025-04-23T22:32:00Z	delivered	7	461.66	0.0	38.09	499.75	USD	card	Dunmarrow
ORD-10096	42	2025-04-25T04:06:00Z	delivered	1	25.77	6.99	2.13	34.89	USD	bank-transfer	Dunmarrow
ORD-10097	108	2025-04-26T00:00:00Z	delivered	5	322.28	0.0	26.59	348.87	USD	wallet	Westhollow
ORD-10098	119	2025-04-26T11:11:00Z	delivered	1	185.5	0.0	15.3	200.8	USD	card	Alderport
ORD-10099	67	2025-04-26T14:30:00Z	delivered	1	129.0	0.0	10.64	139.64	USD	card	Alderport
ORD-10100	96	2025-04-27T15:12:00Z	pending	1	249.01	0.0	20.54	269.55	USD	bank-transfer	Larkfield
ORD-10101	114	2025-04-27T19:19:00Z	refunded	3	114.71	0.0	9.46	124.17	USD	invoice	Ravensford
